title;date;url
"Android SDK Search";"February 28, 2019";"https://chrome.google.com/webstore/detail/android-sdk-search/hgcbffeicehlpmgmnhnkjbjoldkfhoin"
"AWRStudyr";"November 9, 2018";"https://chrome.google.com/webstore/detail/awrstudyr/mbkehkfjhncahcaggkncdaacfnikmoid"
"IP Whois & Flags Chrome & Websites Rating";"January 14, 2018";"https://chrome.google.com/webstore/detail/ip-whois-flags-chrome-web/kmdfbacgombndnllogoijhnggalgmkon"
"Tabbed Postman - REST Client";"March 24, 2018";"https://chrome.google.com/webstore/detail/tabbed-postman-rest-clien/coohjcphdfgbiolnekdpbcijmhambjff"
"WASP.inspector: Analytics Solution Profiler";"February 12, 2019";"https://chrome.google.com/webstore/detail/waspinspector-analytics-s/niaoghengfohplclhbjnjheodgkejpih"
"Usersnap Classic - Collect feedback & bugs";"September 12, 2018";"https://chrome.google.com/webstore/detail/usersnap-classic-collect/khehmhbaabkepkojebhcpjifcmojdmgd"
"Apollo Client Developer Tools";"February 26, 2019";"https://chrome.google.com/webstore/detail/apollo-client-developer-t/jdkknkkbebbapilgoeccciglkfbmbnfm"
"Responsive Inspector";"May 14, 2013";"https://chrome.google.com/webstore/detail/responsive-inspector/memcdolmmnmnleeiodllgpibdjlkbpim"
"Responsive Web Design Tester";"December 4, 2017";"https://chrome.google.com/webstore/detail/responsive-web-design-tes/bdpelkpfhjfiacjeobkhlkkgaphbobea"
"Justinmind Extension";"July 14, 2014";"https://chrome.google.com/webstore/detail/justinmind-extension/pnfffbfcdapknabgmlnpagljkjdejaap"
"Validity";"November 11, 2016";"https://chrome.google.com/webstore/detail/validity/bbicmjjbohdfglopkidebfccilipgeif"
"Live CSS Editor";"December 2, 2014";"https://chrome.google.com/webstore/detail/live-css-editor/oelggcmknbjmhkpgjfhakedcfnkgbdpg"
"Designers Ruler";"June 8, 2018";"https://chrome.google.com/webstore/detail/designers-ruler/mlbnpnlmfngmlcmkhjpbfokdphfehhjj"
